timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.52968E+15,1,-16,-4,-1,-1,2,8,4
1.52968E+15,1,36,23,6,-1,-3,-5,-3
1.52968E+15,-2,-21,-21,-4,0,4,18,7
1.52968E+15,2,27,24,3,1,-7,-9,2
1.52968E+15,-6,-43,-43,-7,-2,-9,5,-11
1.52968E+15,1,-8,19,-1,-4,-3,0,2
1.52968E+15,-1,-2,1,2,1,1,12,2
1.52968E+15,2,5,-9,-3,2,16,1,5
1.52968E+15,-2,5,19,5,2,-1,3,9
1.52968E+15,0,-15,-21,-7,0,5,-9,6
1.52968E+15,1,5,11,-2,-3,-4,20,5
1.52968E+15,-7,-9,-9,2,-1,1,5,1
1.52968E+15,2,12,-6,-3,0,6,-9,-10
1.52968E+15,-6,-11,12,-6,-5,-13,-4,-1
1.52968E+15,1,-4,3,-4,-3,-3,-8,6
1.52968E+15,1,3,-14,-7,-3,-3,-1,1
1.52968E+15,3,15,13,4,1,8,13,2
1.52968E+15,-8,-14,-28,-8,-10,-17,-29,-19
1.52968E+15,-2,2,20,0,2,5,-6,-9
1.52968E+15,0,0,-23,0,0,-5,0,-3
1.52968E+15,-3,3,12,0,-6,-9,-12,-4
1.52968E+15,-3,-6,-27,-13,-5,5,13,10
1.52968E+15,2,2,-11,-7,-1,-13,-13,-3
1.52968E+15,-4,-5,33,11,6,19,-3,-4
1.52968E+15,1,-10,2,2,1,4,4,2
1.52968E+15,4,18,12,4,1,9,13,6
1.52968E+15,-7,-18,-35,-8,-5,-12,-5,-4
1.52968E+15,4,7,6,0,-4,-8,-7,4
1.52968E+15,-2,-10,-19,-2,-1,-2,21,14
1.52968E+15,-1,0,29,5,2,10,-19,-15
1.52968E+15,-2,5,-7,-5,-1,3,-2,-2
1.52968E+15,-1,-6,1,2,-2,-7,2,-1
1.52968E+15,1,4,-3,-3,1,2,-4,2
1.52968E+15,-4,-1,-30,-1,0,10,-12,-4
1.52968E+15,4,11,-2,-1,0,-5,-2,3
1.52968E+15,-1,3,24,6,-1,-11,1,-1
1.52968E+15,-2,4,4,-6,1,-3,-5,-3
1.52968E+15,3,0,1,7,5,25,11,8
1.52968E+15,-2,-2,3,0,-2,-12,-6,-3
1.52968E+15,-3,-7,-27,-5,-6,5,5,-7
